Income Statement,,,,,,,,,,,,,,,,,,,,,,,,,
How Cube Helps,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,,,,,,,,,,,,,
,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,,,,,,,,,,,,,
Income,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue Stream 1,"$345,000","$348,450","$351,935","$355,454","$359,008","$362,598","$366,224","$369,887","$373,586","$377,321","$381,095","$384,906",,,,,,,,,,,,,
Revenue Stream 2,"$125,000","$126,000","$127,008","$128,024","$129,048","$130,081","$131,121","$132,170","$133,228","$134,293","$135,368","$136,451",,,,,,,,,,,,,
Revenue Stream 3,"$57,200","$57,372","$57,544","$57,716","$57,889","$58,063","$58,237","$58,412","$58,587","$58,763","$58,939","$59,116",,,,,,,,,,,,,
Revenue Stream 4,"$5,300","$5,301","$5,302","$5,303","$5,304","$5,305","$5,306","$5,307","$5,308","$5,310","$5,311","$5,312",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(-) Sales Returns,"-$4,139","-$2,686","-$2,709","-$2,732","-$2,756","-$2,780","-$2,804","-$2,829","-$2,854","-$2,878","-$2,904","-$2,929",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Net Revenue,"$528,361","$534,437","$539,079","$543,765","$548,494","$553,267","$558,085","$562,948","$567,855","$572,809","$577,809","$582,855",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,
Variable Costs,"$157,389","$158,825","$160,280","$161,749","$163,232","$164,729","$166,240","$167,766","$169,307","$170,862","$172,432","$174,018",,,,,,,,,,,,,
Fixed Costs,"$25,000","$25,000","$25,000","$25,000","$25,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000","$35,000",,,,,,,,,,,,,
Total Cost of Goods Sold,"$182,389","$183,825","$185,280","$186,749","$188,232","$199,729","$201,240","$202,766","$204,307","$205,862","$207,432","$209,018",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,"$345,973","$350,612","$353,799","$357,016","$360,262","$353,539","$356,845","$360,181","$363,549","$366,947","$370,377","$373,838",,,,,,,,,,,,,
Gross Margin %,65.48%,65.60%,65.63%,65.66%,65.68%,63.90%,63.94%,63.98%,64.02%,64.06%,64.10%,64.14%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
General & Administrative Expense,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Rent or Lease,"$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000",,,,,,,,,,,,,
Property Taxes,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,,,,,,,,,,,,,
Repairs and Maintenance,$130,$130,$130,$130,$130,$130,$130,$130,$130,$130,$130,$130,,,,,,,,,,,,,
Furniture & Fixtures,$550,$550,$550,$550,$550,$550,$550,$550,$550,$550,$550,$550,,,,,,,,,,,,,
Utilities,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,,,,,,,,,,,,,
Internet & Communications ,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,,,,,,,,,,,,,
Infrastructure Services,$250,$250,$250,$250,$250,$250,$250,$250,$250,$250,$250,$250,,,,,,,,,,,,,
Software,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,,,,,,,,,,,,,
Bank Service Charges,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,$75,,,,,,,,,,,,,
Business Licenses and Permits,$150,$150,$150,$150,$150,$150,$150,$150,$150,$150,$150,$150,,,,,,,,,,,,,
"Conferences, Dues, and Subscriptions",$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,$600,,,,,,,,,,,,,
Supplies,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Gifts,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,,,,,,,,,,,,,
"Printing , Postage and Delivery",$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,,,,,,,,,,,,,
Miscellaneous,$750,$750,$750,$750,$750,$750,$750,$750,$750,$750,$750,$750,,,,,,,,,,,,,
Recruiting Expense,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Employee Travel and Meals,"$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000","$2,000",,,,,,,,,,,,,
Equipment Rental,"$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100","$1,100",,,,,,,,,,,,,
Other Tech Expense,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,,,,,,,,,,,,,
Professional Services,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Accounting Fees,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Legal Fees,"$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500",,,,,,,,,,,,,
Consultant Fees,"$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800","$1,800",,,,,,,,,,,,,
Other Professional Services,$540,$540,$540,$540,$540,$540,$540,$540,$540,$540,$540,$540,,,,,,,,,,,,,
Marketing ,"$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000","$3,000",,,,,,,,,,,,,
Public Relations,"$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500","$2,500",,,,,,,,,,,,,
Total G&A,"$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895","$27,895",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Salaries,,,,,,,,,,,,,,,,,,,,,,,,,
Total Salaries,"$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500","$220,500",,,,,,,,,,,,,
Total Benefits,"$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050","$22,050",,,,,,,,,,,,,
Total Payroll Taxes,"$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700","$18,700",,,,,,,,,,,,,
Payroll Processing Fees,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Bonuses,"$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000","$10,000",,,,,,,,,,,,,
Commissions,"$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000","$16,000",,,,,,,,,,,,,
Total Salaries & Commissions,"$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250","$288,250",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,"$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145","$316,145",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
EBITA,"$29,828","$34,467","$37,654","$40,871","$44,117","$37,394","$40,700","$44,036","$47,404","$50,802","$54,232","$57,693",,,,,,,,,,,,,
Other Income/Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,"$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000","$1,000",,,,,,,,,,,,,
Other Income,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,$230,,,,,,,,,,,,,
Interest Expense,$430,$430,$430,$430,$430,$430,$430,$430,$430,$430,$430,$430,,,,,,,,,,,,,
Bad Debt Expense,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,$350,,,,,,,,,,,,,
Depreciation Expense,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,$120,,,,,,,,,,,,,
Amortization,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Interest, Depreciation & Amortization","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230","$2,230",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Net income (Loss) Before Income Taxes,"$27,598","$32,237","$35,424","$38,641","$41,887","$35,164","$38,470","$41,806","$45,174","$48,572","$52,002","$55,463",,,,,,,,,,,,,
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,
Income Taxes,"$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500","$1,500",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Net income (Loss) ,"$26,098","$30,737","$33,924","$37,141","$40,387","$33,664","$36,970","$40,306","$43,674","$47,072","$50,502","$53,963",,,,,,,,,,,,,
